Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Genres,Record Label,Danceability,Energy,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Year
spotify:track:4SSnFejRGlZikf02HLewEF,bury a friend,WHEN WE ALL FALL ASLEEP WHERE DO WE GO?,Billie Eilish,2019-03-29,193143,78,False,,Darkroom/Interscope Records,0.905,0.389,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,4,2019
spotify:track:073ILU1C3APNRGF66VhtyA,Liar,Romance,Camila Cabello,2019-12-06,207038,66,False,,Syco Music/Epic,0.74,0.498,-6.684,0,0.0456,0.0169,0.00282,0.319,0.652,98.016,4,2019
spotify:track:6QQtHdz4PNJWQX4nrAQGC9,Slide Away,SHE IS COMING,Miley Cyrus,2019-05-31,233654,69,False,,RCA/Legacy,0.534,0.538,-6.673,1,0.0327,0.173,2.82e-06,0.248,0.289,148.016,4,2019
spotify:track:22vgEDb5hykfaTwLuskFGD,Sucker,Happiness Begins,Jonas Brothers,2019-06-07,181026,83,False,,Jonas Brothers Recording,0.842,0.734,-5.065,0,0.0588,0.0427,0.0,0.106,0.952,137.958,4,2019
spotify:track:5WHTFyqSii0lmT9R21abT8,Don't Call Me Up,Ivy To Roses (Mixtape),Mabel,2019-01-18,178480,76,False,,Polydor Records,0.674,0.881,-2.853,1,0.147,0.296,3.01e-06,0.0793,0.234,98.994,4,2019
spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Lover,Taylor Swift,2019-08-23,178426,92,False,,Taylor Swift,0.552,0.702,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,4,2019
spotify:track:2qxmye6gAegTMjLKEBoR3d,Let Me Down Slowly,Narrated For You,Alec Benjamin,2018-11-16,169353,84,False,,2018,0.652,0.557,-5.714,0,0.0318,0.74,0.0,0.124,0.483,150.073,4,2019
spotify:track:6LsAAHotRLMOHfCsSfYCsz,If I Can't Have You,If I Can't Have You,Shawn Mendes,2019-05-03,190800,69,False,,Island Records,0.69,0.809,-4.198,1,0.0603,0.524,0.0,0.147,0.864,123.912,4,2019
spotify:track:7dt6x5M1jzdTEt8oCbisTK,Better Now,beerbongs & bentleys,Post Malone,2018-04-27,231266,83,True,,Republic Records,0.674,0.578,-5.804,1,0.0408,0.331,0.0,0.135,0.34,145.07,4,2019
spotify:track:6ImEBuxsbuTowuHmg3Z2FO,Mad Love,High Expectations,Mabel,2019-08-02,169813,65,False,,Polydor Records,0.623,0.796,-2.981,0,0.199,0.659,0.0,0.115,0.607,197.524,4,2019
spotify:track:6RRNNciQGZEXnqk8SQ9yv5,You Need To Calm Down,Lover,Taylor Swift,2019-08-23,171360,80,False,,Taylor Swift,0.771,0.671,-5.617,1,0.0553,0.00929,0.0,0.0637,0.714,85.026,4,2019
spotify:track:7DnAm9FOTWE3cUvso43HhI,Sweet but Psycho,Heaven & Hell,Ava Max,2020-09-18,187436,84,False,,Atlantic Records,0.72,0.706,-4.719,1,0.0473,0.0684,0.0,0.166,0.62,133.002,4,2019
spotify:track:4a9tbd947vo9K8Vti9JwcI,Boy With Luv (feat. Halsey),MAP OF THE SOUL : PERSONA,"BTS,Halsey",2019-04-12,229773,80,False,k-pop,BIGHIT MUSIC,0.645,0.862,-4.761,0,0.0845,0.0933,0.0,0.193,0.803,119.947,4,2019
spotify:track:7xQAfvXzm3AkraOtGPWIZg,Wow.,Hollywood's Bleeding,Post Malone,2019-09-06,149546,80,True,,Republic Records,0.829,0.538,-7.359,0,0.212,0.137,1.88e-06,0.103,0.389,99.952,4,2019
spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg,Don't Start Now,Don't Start Now,Dua Lipa,2019-10-31,183290,77,False,pop,Warner Records,0.794,0.793,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941,4,2019
spotify:track:6KgBpzTuTRPebChN0VTyzV,Good as Hell,Cuz I Love You (Super Deluxe),Lizzo,2019-04-17,159735,73,False,,Nice Life/Atlantic,0.682,0.919,-3.18,0,0.0875,0.256,0.0,0.442,0.535,95.982,4,2019
spotify:track:4Of7rzpRpV1mWRbhp5rAqG,Bruises,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,2019-05-17,220492,82,False,soft pop,Vertigo Berlin,0.736,0.308,-7.83,1,0.0677,0.946,0.0,0.186,0.361,111.202,4,2019
spotify:track:56JyMaElW79S7TDWh1Zw1m,On A Roll,On A Roll,Ashley O,2019-06-14,154447,55,False,,RCA Records Label,0.736,0.81,-6.354,1,0.0906,0.077,0.0,0.0523,0.387,125.011,4,2019
spotify:track:4LEK9rD7TWIG4FCL1s27XC,cardigan,folklore,Taylor Swift,2020-07-24,239560,52,False,,Taylor Swift,0.613,0.581,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033,4,2020
spotify:track:7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),death bed (coffee for your head),"Powfu,beabadoobee",2020-02-08,173333,84,False,bedroom pop,Columbia,0.726,0.431,-8.765,0,0.135,0.731,0.0,0.696,0.348,144.026,4,2020
spotify:track:0nbXyq5TXYPCO7pr3N8S4I,The Box,Please Excuse Me for Being Antisocial,Roddy Ricch,2019-12-06,196652,85,True,melodic rap,Atlantic Records,0.896,0.586,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,4,2020
